"","Var1","Freq.x","proportion.x","Freq.y","proportion.y"
"1","",0,0,0,0
"2","#N/A",3,0.0319148936170213,0,0
"3","apoptosis regulation",2,0.0212765957446809,1,0.0454545454545455
"4","cell cycle",4,0.0425531914893617,1,0.0454545454545455
"5","chromain  histone acetylation",5,0.0531914893617021,0,0
"6","chromatin  histone methylation",2,0.0212765957446809,0,0
"7","chromatin  other",2,0.0212765957446809,1,0.0454545454545455
"8","cytoskeleton",3,0.0319148936170213,1,0.0454545454545455
"9","DNA replication",2,0.0212765957446809,1,0.0454545454545455
"10","EGFR signaling",3,0.0319148936170213,0,0
"11","ERK MAPK signaling",5,0.0531914893617021,2,0.0909090909090909
"12","Genome integrity",4,0.0425531914893617,0,0
"13","IGFR signaling",1,0.0106382978723404,0,0
"14","JNK and p38 signaling",1,0.0106382978723404,0,0
"15","metabolism",1,0.0106382978723404,0,0
"16","mitosis",2,0.0212765957446809,3,0.136363636363636
"17","other",27,0.287234042553192,7,0.318181818181818
"18","p53 pathway",1,0.0106382978723404,1,0.0454545454545455
"19","PI3K signaling",10,0.106382978723404,2,0.0909090909090909
"20","RTK signaling",12,0.127659574468085,2,0.0909090909090909
"21","TOR signaling",2,0.0212765957446809,0,0
"22","WNT signaling",2,0.0212765957446809,0,0
